matrix	SS:Default	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Hash-1P	MSA-1P	Hash-2P	MSA-2P
poisson3Da.mtx	0.01657899143	0.01669917439	0.01629418167	0.01658341791	0.01609499912	0.02084914393	0.01267150887	0.01585932147
patents_main.mtx	0.01276715267	0.0127032359	0.01273560876	0.01251877817	0.03300221115	0.0350670482	0.02469831014	0.03104934362
conf5_4-8x8-05.mtx	0.004630995344	0.004608885378	0.004679728725	0.004793043568	0.004439527421	0.006775246771	0.003482563501	0.005082788458
pdb1HYS.mtx	0.002475219342	0.002523591161	0.00250497237	0.002514972891	0.002324876363	0.003957863007	0.001598549285	0.002481797874
m133-b3.mtx	0.003898535164	0.003864789564	0.003897337884	0.003826182644	0.004344444975	0.005253381076	0.003599740531	0.004227965114
2cubes_sphere.mtx	0.003008213626	0.002999069988	0.003017678162	0.00296570899	0.00292964058	0.004375096252	0.002327915808	0.003334234688
cage12.mtx	0.002686395556	0.002673358618	0.002659137408	0.002638366492	0.002470563849	0.003278396156	0.002116290143	0.002763840345
consph.mtx	0.001864526836	0.001889516565	0.001891402121	0.001853330398	0.001474745282	0.002496895111	0.001072046108	0.001793073893
webbase-1M.mtx	0.001611785634	0.001614661905	0.001612279898	0.001602855648	0.003329282706	0.00349153965	0.002490320126	0.003225814776
cop20k_A.mtx	0.002561834355	0.002564452382	0.002570809741	0.002558241567	0.002403101539	0.003665488945	0.00184046415	0.002768455772
filter3D.mtx	0.00194175436	0.001946217449	0.001945460948	0.00194102732	0.002031951627	0.002929656887	0.001589691676	0.002246262724
mono_500Hz.mtx	0.001241885057	0.001236618704	0.001230947396	0.001217608568	0.001024768343	0.001384084386	0.0007539577883	0.0010180464
offshore.mtx	0.001118333433	0.001122005787	0.001125439203	0.00113015868	0.001119842774	0.001563992391	0.0008262838923	0.001137298935
shipsec1.mtx	0.001176751209	0.001180587226	0.00117283934	0.001174144401	0.001267148158	0.002000715056	0.000890595904	0.001310375897
cant.mtx	0.001400300364	0.001385752661	0.001357224097	0.001386335528	0.0018876198	0.002249031679	0.001439904506	0.001711675165
rma10.mtx	0.001155602314	0.001183390219	0.001179971216	0.001166284534	0.00221041419	0.002504190136	0.001619442902	0.00192701656
majorbasis.mtx	0.001196869038	0.001202275378	0.001197584137	0.001045590463	0.001806534597	0.002192474725	0.001383782922	0.001648666254
scircuit.mtx	0.001989410764	0.001976237327	0.001984411653	0.001945512801	0.004203796701	0.005174697798	0.003372810961	0.004279968123
hood.mtx	0.0005937867814	0.0005931142168	0.0005923153714	0.0005927550865	0.0007962380618	0.001047143006	0.0005817917452	0.0007383701896
mac_econ_fwd500.mtx	0.001015121658	0.001015427285	0.001017001209	0.0009831930038	0.001836412385	0.002121354188	0.001446404982	0.001685663533
pwtk.mtx	0.0003802266912	0.0003809362873	0.0003790462476	0.0003723855278	0.0006027373679	0.0006955059604	0.0004569819786	0.0005270654985
mario002.mtx	0.0002307814604	0.0002297030429	0.0002306689235	0.0002156080058	0.0005755604045	0.0006157569115	0.0004502732213	0.0005043929855
