matrix	SS:Default	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Hash-1P	MSA-1P	Hash-2P	MSA-2P
poisson3Da.mtx	0.01381652484	0.01379276101	0.01358699344	0.0136951782	0.0117778139	0.0169750755	0.009644615218	0.01245669741
patents_main.mtx	0.005412046132	0.005355082107	0.005411149999	0.005307627432	0.01834986962	0.021191065	0.01571151151	0.01973242827
conf5_4-8x8-05.mtx	0.004028888744	0.004187553836	0.003898728196	0.004040041661	0.003084483383	0.004877287448	0.002520788946	0.003755545532
pdb1HYS.mtx	0.002382901254	0.002372509636	0.002323175558	0.002278275391	0.001557838655	0.002910616707	0.001362845665	0.002049099708
m133-b3.mtx	0.002963488927	0.002940279685	0.003010015526	0.002884565182	0.002375409194	0.002942906727	0.00217091812	0.002333875882
2cubes_sphere.mtx	0.001669053134	0.001673565662	0.001668585262	0.00167112858	0.001642097602	0.002497635364	0.001254701838	0.001588715544
cage12.mtx	0.001586395831	0.001575687023	0.001572736796	0.001567191289	0.001412807524	0.001994993763	0.001147447589	0.001417738087
consph.mtx	0.00158759441	0.001603823001	0.001610865481	0.001607810098	0.001097637007	0.001867527323	0.0008957046038	0.001306366617
webbase-1M.mtx	0.001015700289	0.001023705016	0.001011350181	0.001016577016	0.001981125422	0.002352096082	0.001627344597	0.00215620823
cop20k_A.mtx	0.001298497586	0.001302962154	0.00130021698	0.001303488827	0.001382390119	0.002032785166	0.0009605501109	0.001240483476
filter3D.mtx	0.0009546927636	0.0009531193021	0.0009562579865	0.0009498910617	0.0009687440543	0.001551886551	0.0007185540795	0.0009403140367
mono_500Hz.mtx	0.0007756032448	0.0007786262728	0.0007735849816	0.0007731986463	0.0006816420238	0.001005140894	0.0005010409376	0.0006620154345
offshore.mtx	0.0006938634302	0.0006866656197	0.0006954486433	0.0006843814236	0.0006520326204	0.0009324131907	0.0004750436755	0.0006338661633
shipsec1.mtx	0.0005961247599	0.0006080482236	0.0005966409117	0.0005887767609	0.0006285093211	0.001130551446	0.0005188866436	0.0007547218227
cant.mtx	0.0004822508305	0.0004812492074	0.0004811290366	0.0004847216699	0.0005668144106	0.0008119423732	0.0004616584359	0.000564717182
rma10.mtx	0.0004072728339	0.0004119083359	0.0004090956862	0.0004124771874	0.0004868943144	0.0007782069676	0.0004891364028	0.0006245590613
majorbasis.mtx	0.0003405235447	0.0003400681449	0.0003400014185	0.0003316339745	0.0002300534619	0.0004081740778	0.0001805382314	0.0002459331389
scircuit.mtx	0.0004689351121	0.0004724227919	0.0004678743439	0.0004662924204	0.0007531195152	0.001157404326	0.0006137188126	0.0007633428125
hood.mtx	0.0002759373294	0.0002768754024	0.0002761617101	0.0002763502827	0.0003471208702	0.0005277620519	0.0002765328423	0.0003349232475
mac_econ_fwd500.mtx	0.0002294278105	0.0002290988849	0.0002292398921	0.0002292829657	0.0002981421273	0.0004660390798	0.0002411634458	0.0002872116019
pwtk.mtx	0.0001444137706	0.0001442501085	0.0001445910728	0.0001442876935	0.0001679694263	0.0002458378001	0.0001328296133	0.0001633787857
mario002.mtx	0.00005166060296	0.00005164623244	0.00005187103976	0.00005045945707	0.00006621224672	0.00009284212816	0.00004605270732	0.00005725929277
