matrix	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Hash-1P	MSA-1P	Hash-2P	MSA-2P
8	287.6751715	143.5107985	283.6327243	309.2414769	308.1464067	380.3460408	392.6515634	370.0704089	355.9502351
9	324.3277685	87.56010187	331.8593537	333.9626728	334.0956811	222.36322	245.883422	228.8992458	240.6177358
10	426.7252685	95.26522538	418.163365	418.6433505	421.2819341	261.978626	359.7558915	278.9322338	346.572249
11	589.9410664	110.2828983	605.3260211	599.5203042	610.27809	359.2905511	567.1906557	409.7120306	561.2197684
12	808.3983299	124.9431016	798.8294587	811.306793	801.814945	517.7481931	816.5009222	512.9454928	779.8441447
13	1062.930545	147.2267095	1087.425993	1092.179563	1102.743085	690.9869924	1133.411879	697.6836428	1079.099336
14	1185.219806	243.0940664	1216.978212	1226.066345	1210.54831	956.8724811	1274.807527	895.8969601	1178.210445
15	1428.836195	324.0437638	1421.886834	1419.56636	1442.057809	1078.991333	1452.084857	977.0334863	1317.771493
16	1436.70223	309.1586174	1436.941795	1439.07834	1437.644802	1144.368835	1466.750609	1009.18696	1269.193273
17	1488.35577	210.2504846	1514.601396	1528.171404	1523.911541	1215.889798	1536.586381	1073.408638	1342.411866
18	1558.961497	139.2203141	1565.472912	1586.301789	1588.111655	1327.173993	1661.033662	1179.481775	1438.89552
19	1571.864105	100.1821172	1560.544745	1554.356288	1569.733386	1464.631604	1843.915268	1300.180161	1556.365575
20	1692.326543	84.37466435	1696.306694	1781.760104	1783.663329	1766.832632	2124.474474	0 0
