matrix	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Hash-1P	MSA-1P	Hash-2P	MSA-2P
8	77.96886676	41.97914206	78.1830925	78.17143539	79.84739858	97.38884916	102.3620141	94.67484685	101.4916301
9	94.65647201	29.33012035	95.30429724	94.95089805	94.60885884	30.13015225	31.33990422	28.3138164	31.28459685
10	112.2334415	30.40240766	112.3446701	112.3156392	112.1588615	44.78371588	47.7346356	44.27084532	46.86312969
11	141.1351572	33.06739556	143.8008465	145.2877226	158.0355875	69.40408485	84.199893	71.05253551	83.62300204
12	178.6671963	36.92301056	190.5512251	191.9020154	196.0737374	104.7794411	148.496695	113.3290912	149.3729923
13	288.5326805	44.14996717	312.2648214	310.8579983	300.0124907	198.9201751	303.9919333	194.5914887	313.7328294
14	378.5937411	73.39519954	381.1240937	373.0247253	372.7616854	309.1597034	506.3851105	329.0628513	469.9243599
15	563.6273152	108.8081476	565.7661747	573.6317591	575.0178245	380.5635623	682.1439769	405.8298373	644.5397264
16	702.7060189	127.0022056	706.5910419	708.2628796	709.8283191	469.0066776	809.8648543	448.6496927	695.7250466
17	704.6513142	137.1967619	713.21528	712.6540068	713.4853675	484.699374	783.7845648	489.5714554	666.2944019
18	738.2702651	137.7204382	739.3003993	734.826076	740.8405871	640.0759406	879.4939712	569.8049697	736.1413852
19	878.1189065	133.6973478	878.6863312	872.0007632	877.7953798	719.3998829	1074.902235	668.4009996	0
20	1101.062417	132.6226956	1107.902559	1107.056232	1114.118726	934.7757172	1325.314435	889.8998224	1050.56935
