matrix	SS:Default	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Hash-1P	MSA-1P	Hash-2P	MSA-2P
poisson3Da.mtx	0.00430686592	0.004350954991	0.00429854606	0.004304713446	0.003946831444	0.004705286719	0.003459503741	0.004017450197
patents_main.mtx	0.001960837756	0.001949081797	0.001957454338	0.001942407614	0.002993527992	0.003090707633	0.002817888066	0.003003363767
conf5_4-8x8-05.mtx	0.001226236908	0.001241577911	0.001217012422	0.001239732843	0.00108844888	0.001384297827	0.0009506514006	0.001206004503
pdb1HYS.mtx	0.0007623568904	0.0007633539421	0.0007580490788	0.0007569426782	0.0006472744954	0.000944594614	0.0005403241188	0.0007188666406
m133-b3.mtx	0.0007194543773	0.0007208042561	0.0007291313494	0.0007229443151	0.0006631483552	0.0007228122659	0.0006268000129	0.0006620516809
2cubes_sphere.mtx	0.0004260251432	0.0004257469624	0.0004253601237	0.0004247653851	0.0004157097721	0.0004812050221	0.0003734654305	0.000420984441
cage12.mtx	0.0004274279124	0.0004270055383	0.0004261324534	0.0004252316651	0.0003998862564	0.0004550906324	0.0003672419316	0.0004098312618
consph.mtx	0.0003755968281	0.0003787337514	0.0003784942303	0.0003764946414	0.0003224857303	0.0004100931133	0.0002812755803	0.0003545089192
webbase-1M.mtx	0.00035410884	0.000355955656	0.0003544496851	0.0003547048441	0.0004795329809	0.0005044023989	0.000440512023	0.0004909484328
cop20k_A.mtx	0.0002831398087	0.0002836854323	0.0002829081921	0.0002836514991	0.0002844785353	0.0003193539852	0.0002520198954	0.0002822903856
filter3D.mtx	0.0002621302338	0.0002616685257	0.0002625209292	0.0002617837094	0.0002618598623	0.0003065332348	0.0002318937478	0.0002645629118
mono_500Hz.mtx	0.0002321840802	0.0002324592741	0.0002315063791	0.0002311720267	0.0002120101458	0.00024999655	0.0001788184279	0.0002102158336
offshore.mtx	0.0001866290164	0.0001863241572	0.0001874155201	0.0001861771439	0.0001797404541	0.0002065608775	0.0001556760467	0.0001984504355
shipsec1.mtx	0.0001479751663	0.0001483386061	0.0001473911211	0.0001467406036	0.0001679559751	0.0002019753309	0.0001517947344	0.000178068693
cant.mtx	0.0001192409683	0.0001190074696	0.0001187445335	0.0001193023722	0.000125784768	0.0001364238669	0.000117864141	0.0001253323689
rma10.mtx	0.0001182416138	0.0001193075092	0.0001191922787	0.0001192987742	0.0001301123281	0.000145855173	0.0001280570516	0.000137460442
majorbasis.mtx	0.00009268661286	0.00009273449612	0.00009264974977	0.00009115590464	0.00008355470177	0.0001003258383	0.00007494758316	0.00008513641838
scircuit.mtx	0.00008719783454	0.00008734333728	0.00008710566178	0.00008699638045	0.0001128922523	0.0001211243142	0.0001079441835	0.0001144232039
hood.mtx	0.00007892530506	0.00007903017645	0.00007893201074	0.0000790414929	0.00008631576976	0.00009726139438	0.00007834413835	0.00008490021635
mac_econ_fwd500.mtx	0.00006125182336	0.000061307923	0.00006130929118	0.00006111127866	0.00006693640297	0.00007327078046	0.00006302801086	0.00006613946983
pwtk.mtx	0.00004491765735	0.00004491836796	0.00004498112545	0.00004485977196	0.00004912901551	0.00005484056378	0.00004447294231	0.00005344051163
mario002.mtx	0.00001210733464	0.00001210477889	0.00001211928095	0.00001199852291	0.00001316359301	0.00001398949467	0.00001204153248	0.00001272502949
