matrix	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
m133-b3.mtx	4212.549935	1794.145201	4197.163074	1261.58315	4100.382443	3569.76958	5754.827408	4708.831637	4335.643464	5346.684472	4175.346662	3028.938876	5533.736449	4918.428377	6111.990459	5694.337778	3695.435601
poisson3Da.mtx	4250.987316	3261.851379	4287.573468	4257.359752	3125.488997	1254.949118	1423.954644	4267.611929	6064.199874	3275.064805	4324.87928	642.9783858	749.745993	3602.354701	5020.697158	2030.956543	4186.317938
conf5_4-8x8-05.mtx	36182.50136	7954.945043	36176.46264	35320.96059	26199.34973	4436.741223	22696.52448	10678.30855	43050.70904	26543.43426	20893.56788	8582.910032	23642.81901	13486.30482	57077.86314	21293.54667	10918.40274
scircuit.mtx	539.1857621	425.9594871	543.6799708	359.0231662	543.1851573	1104.989619	1226.555103	1375.486654	1287.43779	1360.503456	1288.599298	798.6618237	932.5082168	1130.670708	1205.836087	1182.783979	1152.870241
mac_econ_fwd500.mtx	3597.487427	2298.113818	3598.618607	2359.294452	3597.885648	2608.066093	4576.579442	6182.825664	7170.656995	4957.698123	4979.084665	1520.809729	2961.159141	4925.661981	7005.592599	3545.313531	3864.659345
patents_main.mtx	642.4747856	405.4682042	640.4018967	404.5405604	640.8141611	1235.102514	1421.914293	1554.789162	1513.012737	1530.374535	1479.855454	902.8014926	1102.640882	1293.023616	1015.481421	1259.264289	1240.10792
cage12.mtx	3905.726288	3629.400081	3902.31191	2202.641101	3918.687153	2017.793587	3642.502328	4175.648043	10680.6033	6205.424612	5167.150615	1021.184866	1986.663591	2940.356664	8829.93144	3784.10517	4955.452797
majorbasis.mtx	6333.220384	5770.485348	6222.359463	3761.001814	6289.914306	2486.1249	3601.964037	7429.914619	9072.515969	8143.414622	9487.32096	942.8454245	1668.896797	7193.03921	11286.29689	7440.202153	13254.40138
mc2depi.mtx	2356.892656	2877.371844	2342.990792	911.7747941	2356.833776	1794.120019	2283.928922	2837.09197	2966.165237	2776.351263	3011.206831	1044.957453	1292.529884	2875.135732	3323.830428	3081.180006	3914.244046
mario002.mtx	1489.391995	1207.645906	1489.482601	396.7279496	1488.328192	1029.149718	1427.978246	1969.997586	1931.799909	1865.598522	1812.262171	551.7547042	731.6826919	1530.281098	1674.270621	1472.363399	1946.389093
2cubes_sphere.mtx	3357.198342	3566.969961	3337.972534	2719.319637	3340.296082	1958.587293	2292.4863	4371.408625	6549.374468	4458.860124	4001.950853	996.440645	1205.670524	3478.094247	5109.512569	2627.390419	4026.537783
rma10.mtx	13415.37123	11239.52503	13524.11955	13584.1556	6720.553438	2403.438553	2347.277358	9417.63397	15232.83515	10001.12525	10998.42588	1163.563477	1236.595182	7776.719975	12489.10359	6546.875221	11144.04491
cop20k_A.mtx	4169.839058	5632.013474	4140.4077	4169.792527	4199.845234	1689.29278	1789.275918	5234.594402	8194.669459	4552.627424	5477.648119	858.3293633	924.30701	4500.428517	6695.895711	2956.219767	6117.860967
filter3D.mtx	4261.672752	6009.569411	4251.088517	6232.939925	4272.426761	2113.573311	2292.556631	5325.266522	8535.011703	5870.997083	5713.755193	1081.5063	1201.83567	4510.20459	7345.165099	3734.977983	5991.13912
offshore.mtx	3096.934571	3535.894288	3110.83847	2520.516948	3099.161723	1851.100947	2128.906615	3701.193158	5215.477421	3895.530099	4065.911068	988.2591218	1175.174188	3104.505849	4422.275452	2500.288713	3843.57775
cant.mtx	12663.95785	9318.374503	12642.59287	12631.54082	6496.524453	2569.779391	2720.590338	8370.204619	15551.21765	10676.30162	10952.934	1307.839501	1408.847148	6585.182831	12705.54711	6526.85852	10849.81126
webbase-1M.mtx	8163.110516	34946.44658	8123.182708	7119.992847	10150.93589	2630.836087	2283.787063	10768.62834	21690.6947	7241.622498	18135.35305	1351.132271	1163.881844	7538.206852	16171.79039	4102.469892	15986.29967
mono_500Hz.mtx	3917.069338	5287.748861	3962.414543	5114.770823	3951.308813	1345.510285	1543.651832	4496.457364	6169.613112	3750.747279	4639.283487	688.3786413	784.1656053	3852.089861	5232.414275	2362.931295	4895.621732
