matrix	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
m133-b3.mtx	686.7837549	505.9594751	687.9712188	640.7347396	685.778363	819.9452826	923.6923876	846.450786	661.083449	932.0956084	1177.083534	805.1543412	932.5739158	906.0107203	637.2625919	953.2683301	1033.13013
poisson3Da.mtx	1234.376143	1210.734235	1228.604917	1228.684419	1132.032044	596.1949789	685.0872789	1288.065371	1291.023036	1245.46395	1843.231099	351.3411951	419.1043647	1136.970688	1280.651185	995.682979	1722.289719
conf5_4-8x8-05.mtx	9695.465936	3265.10805	10431.19923	10168.8426	6277.017437	4880.271751	13030.18109	6000.680183	14222.65149	11728.18526	9664.8807	4868.543128	12806.25778	7049.058788	21046.73463	13046.9454	5830.142351
scircuit.mtx	141.31376	109.3697131	141.579185	146.6653795	141.2084411	184.0777058	193.0694099	197.2861234	132.0825255	203.5843377	195.7083113	168.7032087	181.5745983	167.4648484	171.6553745	192.465699	194.5651415
mac_econ_fwd500.mtx	851.4211769	588.4452439	853.6582517	826.4872458	837.070214	891.9087468	1203.419454	1231.678679	984.3471477	1311.119702	1589.525278	662.952567	1073.006437	1180.286352	1188.435937	1185.782489	1375.105226
patents_main.mtx	158.7270571	109.5685144	159.3734077	151.7337049	159.980656	211.5146779	222.0560258	220.171897	170.72997	225.1620134	236.5457078	189.9014525	202.1306076	211.1194499	180.3134194	161.4058191	228.9297053
cage12.mtx	1223.3573	1260.944924	1226.46334	1551.257362	1222.164833	1015.795116	1591.06741	2063.428784	2574.66562	2472.954491	2460.053783	550.8417161	977.7618602	1512.250034	2337.941538	1869.992236	2153.167548
majorbasis.mtx	1953.263087	1840.709885	1965.210633	2385.108331	1916.497626	863.5793235	1121.041034	2493.821717	2442.828486	2611.976725	4667.450824	332.078721	566.1304193	1998.072639	2600.641671	2008.831982	4273.713303
mc2depi.mtx	509.6475349	708.4008793	509.9333403	635.129007	508.4636591	620.8050827	705.8778944	846.8567299	835.7646173	811.4195159	1304.206896	348.1086895	471.979298	811.2991469	911.2463809	855.880229	1446.128884
mario002.mtx	347.9352279	368.3947692	350.8224063	325.8986663	350.5066317	352.9368986	425.9875731	501.3499671	379.1504617	514.361358	641.3483602	220.7899489	303.5979863	425.7107462	369.868838	431.9747881	617.6034053
2cubes_sphere.mtx	1563.336984	2075.659473	1589.826702	2118.515737	1575.208853	1017.024032	1341.672092	2883.921193	3184.90846	3062.014575	2814.37242	540.632783	727.6924313	2117.428208	2717.817605	2023.861813	2775.220012
rma10.mtx	6893.295789	5242.26682	6901.484481	6828.824855	3943.556841	1275.626788	1282.061408	5490.201878	7598.37283	5862.563085	7329.628264	633.6768225	641.8919889	3845.042598	5929.920171	4020.114687	6881.996828
cop20k_A.mtx	2455.79691	3596.145964	2462.829659	3374.234308	2447.705429	773.1251309	932.3651285	4112.418271	5268.767277	3930.357355	5132.727535	440.0425825	505.9581068	2858.213506	3688.865273	2143.240044	4638.441286
filter3D.mtx	2685.028493	4149.846344	2688.758367	4305.637468	2656.001063	1274.913708	1450.520247	4438.986543	6255.88954	4814.805991	5344.859737	655.6142464	737.7397616	3206.796828	4912.837484	3028.45346	4952.124658
offshore.mtx	1447.43853	1769.665727	1441.079332	1448.577383	1449.515237	1065.411331	1331.347747	2475.797341	2469.690663	2719.512813	4088.260324	570.1310752	719.5653706	1877.335164	2104.931589	1881.840815	3285.032545
cant.mtx	7236.364637	3958.000101	7214.884667	7234.493043	3987.448542	1461.154882	1588.235343	5707.399402	8488.819364	6552.91781	7994.392674	745.4052637	804.2948286	3945.047432	6577.34114	4231.150108	7329.407769
webbase-1M.mtx	6468.909537	11172.57739	6469.476041	7526.144876	5337.179525	1136.990165	951.4080736	5321.249543	7781.115575	2354.327886	9844.437776	588.0537193	463.2815881	3687.453625	5710.945697	1318.933242	9102.908385
mono_500Hz.mtx	2677.190966	3574.274835	2663.500953	3645.80477	2547.132616	818.5963947	788.3801129	3478.9087	3974.97419	2842.264496	5510.861229	425.8187353	396.1371891	2531.184486	3169.102363	1792.226599	4937.628497
consph.mtx	7857.482726	6611.337607	7843.075185	7847.413018	4265.075971	1476.739299	1561.738834	6369.185486	9190.751315	7172.626759	8877.448507	755.6381681	791.6096775	4334.610361	6960.844222	4747.120985	8079.138216
pdb1HYS.mtx	8480.808848	8250.862314	8364.649027	8592.447373	8593.183483	1311.562973	1322.673638	6559.041513	9233.846136	6890.100692	8980.205257	667.1252877	659.8309498	4467.29464	7048.411969	4715.062614	8457.166421
shipsec1.mtx	7234.439657	7704.276916	7087.511385	7236.063705	4200.688902	1314.941977	1319.379183	5531.945631	7706.971802	5539.311483	8589.166148	677.1456341	676.1456653	3747.595421	6094.550647	4302.965963	7933.602811
hood.mtx	3912.306116	7776.233003	3933.648203	6143.269086	3866.624104	1117.765758	1150.436948	5404.105291	7496.008196	5603.765416	8434.231093	495.0057945	477.1001626	3836.140077	5938.298918	3872.773592	7943.064557
pwtk.mtx	4287.292736	8132.22066	4167.514487	6575.27198	4081.236369	1086.65075	1064.601748	5658.002136	7948.908591	5924.03954	8804.488276	415.3272144	442.5857383	4107.37177	6269.225107	4245.140606	8052.86479
cage15.mtx	2885.799248	4240.763019	2891.358368	3337.303308	2852.903786	1258.892342	2155.035804	3251.03321	5383.965423	4557.939609	4917.476218	643.6061959	1142.597719	2141.9061	3980.334922	2868.175788	3913.367551
delaunay_n24.mtx	680.8483638	772.2641752	679.957334	581.7363716	680.9368227	777.8242497	878.2537987	1086.377054	567.7888918	1140.366066	850.5492884	471.171754	549.6837444	760.4729816	518.3977299	758.2426045	863.158053
