matrix	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	0.7649536839	0.3655088352	0.848175713	0.848577978	0.8469043862	0.8071092399	0.7844045009	2.790579672	3.624361918	2.043662669	2.12035552	0.4409858692	0.4349997974	2.074064915	3.402649762	1.451705206	2.075668987
9	2.328055625	1.101680416	2.351884	2.353655352	2.349173098	0.8955086446	0.8278801152	4.623732492	6.755353797	2.64982476	2.749129083	0.4590047393	0.4300416506	4.042725313	6.08376379	1.613444395	3.1500168
10	5.363570055	1.781737004	5.333289124	5.337753595	5.344144392	0.8396390177	0.8340107531	5.148730282	8.16791802	2.781729403	3.741461023	0.4268594927	0.4293373668	4.436610591	6.965610175	1.609491666	3.952241727
11	5.87025111	3.591284019	5.848741467	5.845057437	5.833598005	0.9764540206	1.027455059	5.334699159	9.49605134	3.060340078	4.944725486	0.4949244589	0.5255857961	4.524750744	8.153432516	1.74980533	5.033509607
12	8.086465565	5.613190685	6.764953411	6.982361553	6.986872263	1.028387728	1.117424221	4.970931314	10.10786044	3.444656034	5.248953004	0.5175379806	0.5693411001	4.287906008	8.748811381	1.918911223	5.477805279
13	11.5335152	7.784427709	10.89405354	10.8743863	10.90455134	1.049355689	1.205160963	4.267669792	10.18221074	3.648459885	6.555714222	0.5324776574	0.6156637591	3.76487932	8.724664724	2.032910798	6.585789637
14	12.06822233	9.978150206	12.10832623	12.10326548	12.03926194	1.094159812	1.338118728	4.538721821	11.86025483	4.003850037	8.299445998	0.5538464842	0.6793413436	3.995675692	9.913997129	2.153196281	8.214704773
15	13.05618165	11.47281443	13.05251134	13.0939855	13.11280239	1.100958591	1.388904825	4.292797255	12.89457678	4.10384017	9.923068689	0.5554151663	0.7087992967	3.77651827	10.52660083	2.151889486	9.818635713
16	13.10581106	11.68864891	13.10498059	13.12588452	13.05862727	1.10323052	1.452450688	4.004529133	13.67804577	4.140584447	10.34838432	0.5484081667	0.731799065	3.566619816	10.94953377	2.157546607	10.24849409
17	13.08626473	12.77874784	13.05532118	13.0510559	13.0611853	1.085499135	1.494297307	3.645786638	13.86580054	4.230035142	11.47467197	0.5489325816	0.7633919784	3.320164288	11.04945451	2.195614299	11.28065826
18	11.04560112	13.62453764	10.88922771	10.9060006	10.94316377	1.084241442	1.584777012	3.511231111	14.0439664	4.403872398	11.97556709	0.5465851906	0.8032927155	3.170320829	10.57893495	2.266925801	11.86824304
19	8.133403595	14.43090499	8.090600045	8.09043841	8.087083596	1.05177104	1.672984079	3.248374542	13.73434641	4.596951954	12.86920881	0.5312515213	0.8450905646	2.950674779	9.644961159	2.368041799	12.66201369
20	5.813625595	15.14722202	5.846690174	5.838739837	5.81863076	1.008109254	0	3.382255709	13.35845728	4.671078197	13.79825048	0	0	0	0	0	0
