matrix	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	1.845518028	0.8818222056	2.046298491	2.047268991	2.043231303	1.947222013	1.892444834	6.732518846	8.74409183	4.930515896	5.115544144	1.063917187	1.049475262	5.003863988	8.209191759	3.502366464	5.007733952
9	2.806059101	1.327880796	2.834779991	2.836915043	2.831512479	1.079377209	0.9978629837	5.57309134	8.142383629	3.193894856	3.313588646	0.5532489914	0.518339113	4.872789996	7.332900714	1.944721715	3.79678785
10	3.711247296	1.232848005	3.690294829	3.693383958	3.69780598	0.5809764769	0.5770820779	3.56259192	5.651676655	1.924778761	2.588851635	0.2953594568	0.2970739871	3.069850657	4.819756554	1.113665251	2.734698395
11	2.808418931	1.718125824	2.798128385	2.796365888	2.790883519	0.4671507071	0.4915503927	2.552202594	4.543057844	1.46411403	2.365633157	0.2367795165	0.2514483745	2.164710744	3.900728231	0.8371339357	2.408108854
12	2.804797558	1.946940032	2.346429927	2.421838129	2.423402672	0.3566971707	0.3875795552	1.724171815	3.505920116	1.194781917	1.820603878	0.1795084951	0.1974764518	1.487263898	3.034532775	0.6655760131	1.899981487
13	2.416970865	1.631309679	2.28296487	2.27884339	2.285164794	0.2199036532	0.2525543067	0.8943356271	2.133790634	0.7645736008	1.37381969	0.1115863605	0.1290188935	0.7889705325	1.828346353	0.4260180947	1.380122313
14	1.240799299	1.025907664	1.244922598	1.244402274	1.237821724	0.1124964961	0.1375792336	0.4666505719	1.219417034	0.411657507	0.8533109924	0.05694395664	0.06984676281	0.4108170583	1.019311738	0.2213817712	0.8445982881
15	1.222874976	1.0745728	1.222531206	1.226415781	1.228178219	0.1031185646	0.1300883367	0.4020742422	1.207738656	0.384376044	0.929419697	0.05202158846	0.06638793383	0.3537182475	0.9859480427	0.2015514088	0.9196382404
16	0.8019989972	0.7152769609	0.801948177	0.8032273756	0.7991116249	0.06751125639	0.08888148853	0.2450537654	0.8370164151	0.253379555	0.6332606054	0.03355937284	0.04478182338	0.2182562759	0.6700474362	0.1320292355	0.6271479077
17	0.4844354164	0.4730515664	0.483289929	0.4831320341	0.4835070107	0.04018367628	0.05531681905	0.1349619777	0.5132927536	0.156590049	0.4247764821	0.02032072476	0.02825971494	0.1229078887	0.4090355198	0.08127860385	0.4175943629
18	0.3342381538	0.4122763677	0.3295063191	0.3300138643	0.3311384157	0.03280897565	0.04795510334	0.1062493016	0.4249682161	0.1332604867	0.362378778	0.01653958197	0.02430751133	0.09593341006	0.320116909	0.06859681848	0.3591311691
19	0.1624470663	0.2882259749	0.1615921584	0.1615889301	0.161521925	0.02100684146	0.03341422228	0.0648792241	0.2743137305	0.09181412801	0.2570344866	0.01061059495	0.016878848	0.05893331812	0.1926371447	0.04729649017	0.2528962141
20	0.07177026672	0.1869952144	0.07217845497	0.07208030661	0.0718320564	0.01244529233	0	0.04175456269	0.1649125879	0.05766531102	0.1703419151	0	0	0	0	0	0
