	SS:Default	SS:DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	0.2316650842	0.1319586007	0.2306744881	0.2317951375	0.2319854784	0.447829134	0.4061193917	1.705378872	2.042884872	1.202437276	1.038637771	0.2453628323	0.2216172251	1.369306122	1.799423399	0.8881005956	1.002742387
9	0.7419693876	0.4216096131	0.7427100168	0.7413826372	0.7404925517	0.3670772676	0.3579695757	2.298489752	2.904479831	1.278373514	1.678257134	0.1876096632	0.1837609619	1.76249812	2.462848736	0.8297412115	1.647583565
10	1.782501897	0.7394932882	1.782840082	1.778435947	1.780546503	0.5215006294	0.5098650964	3.408861311	4.582007904	1.753752431	2.30794364	0.2688306319	0.2593929761	2.54518981	3.818356252	1.066555875	2.281518606
11	0.7174163334	1.542056545	0.7209428837	0.7228637557	0.7362433351	0.5215150464	0.5129828901	3.594585027	5.133421845	1.689465167	2.977797334	0.2658516267	0.2576494805	2.805795316	4.23109198	1.006476142	2.942697955
12	1.661414861	2.898338758	1.678717635	1.638962042	1.657423667	0.5664658457	0.5937147329	4.000837913	6.072998927	1.885848468	3.73567329	0.2924457855	0.2961600712	2.950791011	4.9527517	1.088643313	3.636108344
13	3.639663778	3.801544449	3.611303778	3.628807835	3.569744244	0.5258933839	0.5712705832	2.564539332	3.67261987	1.562053233	3.412011311	0.2791429824	0.2955634907	2.125040262	2.981775904	0.9682397154	3.380011073
14	5.521243618	6.242960844	5.542397108	5.587261047	5.553893858	0.5328020424	0.6066438832	3.108317659	5.107606868	1.748754393	5.341859843	0.2736893793	0.3036556352	2.45325514	4.2217582	1.007477764	5.258734585
15	6.527263607	8.385578857	6.596604682	6.542072654	6.586415733	0.5311365399	0.6277126834	3.21028417	6.161646983	1.82083005	6.614486652	0.273355415	0.3107562051	2.482954204	4.893630194	1.004725692	6.48627948
16	3.799477678	8.911890451	4.115122895	4.114190374	4.116577848	0.5502275808	0.6847268848	2.967402325	6.891881254	1.954709486	7.843642616	0.2783324854	0.3350155187	2.344458691	5.301949385	1.061853357	7.665150672
17	2.387788745	9.620755704	2.450229779	2.447454631	2.449531259	0.5159602881	0.6779473999	2.746178129	5.923437596	1.942905379	8.903420844	0.2615618837	0.3318812132	2.182640247	4.655025198	1.048037112	8.705266929
18	2.032214667	10.66238182	1.835505058	1.840627814	1.837299079	0.4839768551	0.6710693662	2.415061004	4.769217739	1.890276778	9.93043351	0.2439153973	0.3260528884	1.931312747	3.928088522	1.011295024	9.675597018
19	1.796010124	11.21137968	1.840727117	1.840041134	1.840319281	0.4580202636	0.6805485768	2.193249543	4.213328492	1.895178217	10.57923906	0	0	0	0	0	0
20	0	12.53355791	1.716012898	0	0	0	0	1.879347151	3.943817902	1.906420579	10.53304632	0	0	0	0	0	0
