matrix	SS:Default	SS:DOT-transpose	SS::DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
scircuit.mtx	443.2791	185.3481	401.7946	444.752	367.1064	442.8166	1678.0162	2085.1095	1948.2963	2296.6452	2209.8176	2078.8967	946.9371	1221.2273	1297.7	1564.8749	1422.7668	1331.3145
poisson3Da.mtx	1223.0908	682.9058	1061.6037	1222.5087	1414.9454	1212.1324	1537.9474	1881.5118	3417.7694	4501.8839	3582.4503	2772.1805	787.123	985.3077	2252.9937	3013.2354	2103.9074	2170.5555
conf5_4-8x8-05.mtx	13675.3015	7804.862	16565.5761	13654.0104	18230.1245	13120.6767	11280.7344	39748.9456	15370.1393	35195.1509	33173.05	25561.5083	12842.2324	33445.7653	16625.6728	47613.5835	43016.6169	13730.8765
majorbasis.mtx	2328.7005	1427.9641	2486.2256	2330.2949	1998.5113	2331.1765	3347.4761	4509.2065	5623.2257	11677.0021	10106.895	10267.0911	1842.1896	2599.3103	5883.4357	8889.6727	6085.9549	6939.6952
mc2depi.mtx	1177.3664	1155.2356	1964.5554	1182.513	847.1961	1170.7903	6079.735	4969.783	7481.5538	8623.5803	10122.8729	12510.7696	2256.3943	2689.6723	3513.2886	6827.9899	3118.9292	9637.7505
m133-b3.mtx	426.128	139.0098	284.3163	429.4243	273.1233	435.5721	1261.7439	1430.3902	1160.2327	1253.8341	1218.7169	1134.9927	933.7363	1211.7673	1092.7031	1374.9294	1231.8249	771.3401
mac_econ_fwd500.mtx	2063.2893	896.8318	2286.9355	2055.9459	1529.3394	2066.9231	4970.9945	10380.4536	5377.957	9409.6038	11210.7333	4480.0258	2019.9377	5878.0337	3443.8574	7563.908	6973.1864	2624.3417
patents_main.mtx	774.8677	303.7476	644.8593	759.6993	439.0151	769.1409	1957.0687	2929.7745	2369.6062	2583.8418	2659.2822	2505.354	1023.2049	1735.7282	1754.1811	2369.5621	1941.7909	1529.9974
mario002.mtx	482.6291	311.3913	649.0697	477.7821	308.9092	479.005	1681.6963	2039.2425	1685.635	1871.1964	1666.3061	3020.7057	987.9617	1190.0251	1206.2361	1352.4307	1329.9489	2139.0287
cage12.mtx	3005.5982	1983.4422	3970.5134	3052.5895	2891.7266	2953.6836	2443.1724	4070.3507	5309.0306	8873.5842	5677.2503	6839.2185	1239.9865	2136.5268	3135.9789	5778.8893	3301.8874	4395.2789
2cubes_sphere.mtx	1734.1974	1046.8451	1982.5048	1737.7211	1786.6284	1732.3112	1724.6046	2085.3496	2756.5038	3533.8493	2903.1884	3042.3717	878.0948	1103.054	1764.1107	2177.4907	1850.5597	2242.3494
rma10.mtx	6079.7372	4981.267	7713.891	6089.7656	8190.2409	5224.1029	2023.8647	2126.599	7692.1312	13818.4698	10524.5309	6541.2622	1058.8238	1106.0014	5160.5679	8411.0446	5852.885	5443.3751
filter3D.mtx	2588.9035	1545.3197	3163.4311	2586.4576	3073.7154	2603.0945	1762.0385	2079.8846	3567.9679	4809.9143	3920.6156	3095.8016	854.7795	1097.8779	2303.5855	3211.2513	2296.9072	2505.6186
cop20k_A.mtx	2580.0604	1796.7747	3551.904	2587.5778	3079.6639	2593.8727	1787.5156	2098.8381	3237.4537	4186.2051	3405.2767	3971.5024	906.6266	1109.308	2114.523	2794.5744	1987.163	3167.5782
offshore.mtx	1753.5826	1055.2493	1866.7737	1750.1479	1549.757	1745.3015	1727.9403	2003.621	2743.3345	3236.5558	2940.6402	2566.0946	887.4154	1084.3338	1781.5024	2179.7996	1886.0576	2176.6339
webbase-1M.mtx	3997.6221	1948.1654	4286.1708	3997.0864	2078.1591	4014.4177	1789.2601	1744.6375	5112.0235	6061.9185	6019.8884	886.7957	966.9081	926.8725	3498.8857	4417.1418	4136.2836	757.4526
cant.mtx	4569.5462	4970.712	7722.2836	4505.9853	7983.6585	4541.55	1886.8438	2604.1011	6023.3405	13649.0639	8919.1677	7743.138	933.4415	1311.9793	4510.2433	9525.0619	5078.9196	6497.5597
shipsec1.mtx	6318.8781	6641.1367	9333.8948	6391.7551	9848.6191	6393.6428	2741.1759	2855.152	8638.042	13877.7948	11336.0677	8255.782	1487.611	1481.8284	6040.4808	13155.4126	8392.0341	8331.8175
mono_500Hz.mtx	2643.2467	1794.278	2947.0525	2623.1689	3287.6394	2621.8638	1665.743	1995.4613	3756.7354	4604.7029	4071.7161	2453.8619	862.7434	1064.683	2680.8427	3498.0564	2463.2978	2219.7411
consph.mtx	8014.7309	10290.4049	16508.0237	7996.4977	13671.6751	7544.0688	2980.2285	3184.9908	10565.1833	20159.0638	14272.8704	13895.141	1469.8729	1635.5523	7545.394	16057.2012	9301.0256	13449.4127
pdb1HYS.mtx	12408.8766	8897.0578	12414.5325	12575.2247	12482.0804	7062.3686	2054.8002	1988.1917	9716.2565	15164.6741	10886.4405	8455.7804	1072.6488	1113.2221	7034.4431	11575.2093	6428.8246	7567.0495
hood.mtx	5571.4754	4632.4644	6794.1262	5491.3682	9002.6504	5529.1796	2168.3666	2256.4317	7116.1733	10880.1815	8645.1511	6149.8434	1185.525	1118.863	5252.6411	9959.0533	6601.1751	5829.5567
pwtk.mtx	6900.1728	9159.8239	13099.9758	6767.107	10467.7559	6742.537	2724.6349	2799.0306	9437.9387	14837.5424	11464.925	11286.1508	1449.8967	1456.35	7252.398	12741.5112	8401.1583	11609.565
cage15.mtx	4341.9949	2549.6176	4541.2921	4332.8433	2894.2149	4336.2822	2519.112	4376.4784	4833.7678	5495.6718	5642.4835	5481.904	1361.0174	2531.2404	3332.7761	4244.7153	3639.467	3833.3564
delaunay_n24.mtx	540.467	277.9456	699.2898	544.9178	318.3876	545.1083	675.6743	744.3018	714.6296	409.7435	715.949	547.0254	437.0207	488.4104	491.5339	343.4621	544.3175	397.4994
wb-edu.mtx	2382.2214	1619.424	2553.6676	2289.9128	1871.9019	2507.2475	1357.3782	1360.8654	2228.9834	1740.7576	2553.2954	1830.1206	769.5024	754.2033	1444.4688	1450.8663	1646.2103	1263.3908
