matrix	SS:Default	SS:DOT-transpose	SS::DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
scircuit.mtx	108.3914	58.1581	112.4684	110.0265	90.9115	109.3644	959.7515	986.5717	923.7823	947.0604	1002.8989	865.7578	603.879	810.0381	633.3828	794.9383	792.5203	585.195
poisson3Da.mtx	379.1784	260.4362	344.7379	378.8274	409.4304	382.5904	1004.3762	1252.2284	2430.2141	3147.1159	2474.8794	2304.5479	518.7744	683.092	1561.8808	2231.3503	1653.4426	1914.5892
conf5_4-8x8-05.mtx	2477.9109	1775.3854	2946.8214	2423.5382	3037.0598	2290.027	5968.6594	15926.0879	5806.8686	12273.3195	13527.1784	15109.4752	6039.9245	16210.0102	6496.9594	16580.3743	15788.566	8254.4432
majorbasis.mtx	463.0438	288.8858	396.205	460.5384	462.8402	457.2399	1248.97	1596.0449	3195.8004	4402.244	3533.4324	3120.7223	558.1053	871.83	2117.3717	3072.4544	2453.7912	2322.1959
mc2depi.mtx	255.9099	184.6677	238.4893	255.2194	243.7097	255.9645	1942.8298	2644.023	2463.1331	2952.811	2609.7019	3763.7386	686.9688	917.5795	1379.887	1858.4246	1786.9725	2528.3174
m133-b3.mtx	110.737	27.6447	38.8866	110.4877	60.8278	110.3334	551.6126	612.7426	490.2869	487.1174	505.4774	330.0678	518.0685	570.4346	453.8459	565.9757	496.7218	239.7492
mac_econ_fwd500.mtx	313.8389	223.3	331.6321	315.6085	300.3426	313.7869	1051.8696	3628.7537	2131.223	2501.762	2649.4709	1998.2365	680.3542	2137.5473	1636.2109	2017.199	2446.9122	1113.9007
patents_main.mtx	177.3201	69.3643	117.0843	178.7017	111.2288	176.937	993.7606	1030.7816	913.0613	793.5877	930.5436	805.8643	658.2686	873.7942	716.0946	782.9826	840.931	472.8373
mario002.mtx	141.4679	57.2816	77.4668	138.2267	98.8955	142.4978	801.7457	898.8055	821.9953	794.6366	836.6827	993.4369	475.0301	544.498	509.9669	514.392	620.4179	645.7083
cage12.mtx	761.4392	615.8268	924.1013	773.4369	760.2183	771.6803	1403.3821	1816.3028	3288.1352	5250.2485	4142.9974	4460.5985	724.4405	1386.6502	1943.1416	3398.0281	2623.5676	2930.5665
2cubes_sphere.mtx	486.2838	352.4769	549.5291	470.5433	471.2303	493.8031	1097.0105	1161.5927	1897.7589	2500.6156	2078.7791	2173.3569	574.8037	744.7426	1236.7591	1775.3528	1510.2995	1579.5667
rma10.mtx	2369.0031	1801.4701	2850.5516	2328.777	2671.7894	1919.0692	1263.4081	1262.0524	4832.4498	6733.0214	5567.0069	4402.9964	655.5995	663.0523	3113.4875	4774.3048	3838.3882	3592.7974
filter3D.mtx	1035.1225	739.1988	1371.6668	1072.958	1127.2546	1048.1705	1103.6876	1340.1594	2559.7463	3437.5789	2846.1068	2314.9027	566.6763	697.1912	1620.9352	2345.6835	1806.1778	1712.2161
cop20k_A.mtx	1111.7016	717.3092	1382.5424	1116.4652	1108.7682	1079.442	1070.6073	1292.1614	2400.8226	3103.3071	2651.1817	2484.9316	567.8642	699.419	1500.0148	2142.03	1706.1863	1917.3716
offshore.mtx	451.3479	302.6631	442.427	449.5404	423.853	450.3682	1046.838	1146.8521	1945.6115	2210.5341	2161.1614	1788.5608	538.9027	691.2482	1206.1089	1366.8798	1475.65	1220.4552
webbase-1M.mtx	932.1142	554.7526	888.562	919.2881	859.5597	923.0689	984.9189	1008.2395	3039.5745	3676.6803	3563.8249	509.025	530.1012	532.2125	1993.3901	2509.9216	2557.2877	416.3839
cant.mtx	2371.389	1834.7773	4440.4533	2363.7189	3777.7576	2386.2977	1185.5622	1533.8565	4512.8644	6878.6909	5647.4969	4337.0763	600.2994	801.0954	2959.4603	4946.9735	3573.2727	3469.3883
shipsec1.mtx	2385.3139	2162.8161	3477.9704	2410.4784	3907.6217	2567.7682	1506.6651	1483.8031	4694.8861	6587.7627	5582.7852	6175.5725	780.5228	768.0067	2988.9031	4715.726	3746.1696	5110.3126
mono_500Hz.mtx	1011.1541	716.61	1153.1019	1081.8268	1167.8046	1060.6022	997.6332	898.0069	2852.7354	3138.9838	3203.4989	1775.054	510.8821	510.2543	1752.6449	1963.539	2020.4783	1278.5972
consph.mtx	3615.889	6524.8804	8905.1363	3762.0374	6277.0293	3387.9362	1486.6859	1528.5877	5624.3049	7793.3336	6090.6164	8801.2192	765.5955	783.8811	3769.3613	5801.8119	4045.0808	7380.8608
pdb1HYS.mtx	5974.3862	3748.2743	6438.5545	5902.468	5795.1839	3521.7905	1224.3318	1247.406	5152.5253	7256.7278	5426.2071	5748.757	626.6849	642.6638	3384.7426	5523.8969	3715.2111	4689.1958
hood.mtx	1938.9186	1561.4475	2454.7658	1980.2581	2394.8139	1974.5765	1242.0851	1216.9203	4216.432	5893.1255	4521.6075	4403.444	643.9225	623.6949	2660.5952	4166.9864	2981.13	3699.9946
pwtk.mtx	2742.6122	2843.373	4332.3515	2785.0166	3538.1931	2770.4288	1592.58	1534.1304	5709.895	8256.7559	6499.1902	9089.6496	813.6702	824.1747	3718.4751	5852.965	4375.0334	7483.0786
cage15.mtx	2648.6952	2943.9078	5309.2508	2653.2029	2790.5969	2682.8482	1631.9125	2395.326	3859.544	5966.0275	5121.2711	5133.4675	832.2003	1672.2996	2203.9175	3795.6258	3013.6656	3232.4965
delaunay_n24.mtx	433.4391	397.8306	1228.6087	434.6777	270.3343	433.1919	690.5607	469.473	720.2153	162.3195	733.7606	568.3649	396.5642	479.352	446.2834	139.231	533.8636	357.8708
wb-edu.mtx	1908.0753	1705.0369	2594.5939	1910.7585	1440.2835	1912.3106	789.705	752.2815	2017.9379	954.8092	2279.6557	869.1475	418.6885	400.9977	1192.6901	814.7549	1527.2926	619.721
