matrix	SS:Default	SS:DOT-transpose	SS::DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	0.3094052559	0.2258455326	0.2327783559	0.3144061841	0.3141853933	0.3133053221	0.7456666667	0.7595925297	0.9663066955	1.019134396	0.9832967033	0.9168032787	0.5294674556	0.5313539192	0.9498938429	1.000894855	0.9920177384	0.9580299786
9	0.3584568373	0.2332493786	0.2373794266	0.3597393304	0.3645843046	0.3577280813	1.324233302	1.350921305	2.636067416	2.914409938	2.616468401	2.129591528	0.7424367089	0.7734395604	2.237933227	2.738638132	2.402150171	1.971512605
10	0.9887671233	0.4439020252	0.4563374755	1.00659774	0.9960599572	0.9573382118	1.548812431	1.601545524	4.620794702	5.758514443	4.487073955	3.442796053	0.7968100495	0.8286698337	3.621487889	5.056086957	2.998882521	2.973323864
11	2.232016384	0.8515527774	0.9104009721	2.233679896	2.237849543	2.070136419	1.59395825	1.753680515	5.599327417	7.464607721	5.451641655	4.048686255	0.8211068493	0.8959760837	4.388052709	6.376680851	3.254115092	3.450823258
12	2.593593738	1.437322575	1.706223801	2.680893276	2.676994425	2.558940377	1.69652637	1.736538784	7.242220765	9.15280663	5.96027343	4.873957046	0.8614966199	0.9268794584	4.897008572	7.646702054	3.393400246	4.018576107
13	4.192361854	1.717106552	2.155144343	4.21567592	4.322176795	3.757952604	1.664536123	1.80063573	7.40900437	8.673704186	6.308682003	5.301775175	0.8614086693	0.9337210723	5.165779501	7.999512697	3.618812388	4.239443485
14	6.866664102	2.831271557	3.300021659	6.843157145	7.085725953	5.66986703	1.673919865	1.929089	7.533497347	10.36551232	6.060859146	5.423372474	0.8464007371	0.9920792803	5.225897018	8.255287432	3.491135484	4.210765575
15	8.699061578	3.944772334	4.432927501	8.627577007	9.602997525	6.257965312	1.637149477	2.013296761	7.701055222	10.47416448	6.314000571	5.680103409	0.8210065565	1.040913001	5.243414068	8.074599883	3.596745066	4.082835361
16	9.615851735	3.979063306	5.235766365	9.295976704	11.19691854	7.02266095	1.64455472	2.022102677	8.191438955	10.91792856	6.459980941	5.629386813	0.8210687873	1.039667264	5.303006122	8.376881459	3.662707827	4.236393687
17	10.60202025	4.316056831	5.405045113	10.43706699	11.88309918	6.987509481	1.555494372	1.982379192	8.446525669	11.26358636	6.435206587	5.463545986	0.7800863246	1.016998094	5.415589431	8.523181575	3.694801706	4.162597814
18	11.42838922	4.657012144	5.479606838	11.41995725	12.97941364	7.107613911	1.599726462	1.960296388	8.56146162	11.91475295	6.723061202	5.202073349	0.8044021547	0.9823867483	5.591710077	9.202399583	3.837805828	4.052356822
19	11.85114363	4.811404285	5.476833816	11.75101306	13.50349716	7.864848413	1.528297484	1.869128154	8.957240635	12.16381809	7.252715845	5.448250383	0.7718721721	0.9614245305	5.806199175	9.777312984	4.0481443	4.006303679
20	10.92587928	4.514557563	4.884439772	10.52766443	11.56758907	7.96525305	1.513267429	1.883108949	9.124526395	12.36312583	7.28618254	4.626612919	0.7634669492	0.9691500845	5.66611876	8.90521664	4.160602439	3.386798255
