matrix	SS:Default	SS:DOT-transpose	SS::DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	17.91147994	13.07420495	13.47554631	18.20098384	18.18820225	18.1372549	43.16666667	43.97283531	55.93952484	58.9977221	56.92307692	53.07377049	30.65088757	30.76009501	54.98938429	57.94183445	57.42793792	55.46038544
9	14.38757321	9.362054681	9.527824621	14.43904932	14.63351463	14.35832274	53.15145814	54.22264875	105.8052434	116.9772257	105.0185874	85.47655068	29.79957806	31.04395604	89.82511924	109.922179	96.41638225	79.13165266
10	29.17808219	13.0993532	13.46631785	29.70425583	29.39329051	28.25062886	45.70477248	47.26090283	136.3576159	169.9312242	132.4115756	101.5953947	23.51351351	24.45368171	106.8685121	149.2028986	88.49570201	87.74147727
11	48.76745485	18.6056258	19.8914034	48.80380101	48.89490386	45.23053013	34.82648584	38.31626682	122.340028	163.0946451	119.1132333	88.45997974	17.94041096	19.57623318	95.87481698	139.3244681	71.09934853	75.39723661
12	42.57847358	23.59621725	28.01071116	44.01165143	43.94764483	42.00957677	27.8515105	28.50838574	118.8939891	150.2596685	97.84853391	80.01471021	14.14300572	15.21638179	80.39314218	125.5342719	55.70872593	65.97210431
13	50.96623353	20.87473758	26.19993066	51.24966091	52.54438418	45.68515235	20.23564275	21.89019562	90.07071911	105.4455814	76.69418133	64.45328936	10.47208159	11.35117814	62.8	97.24948524	43.99363502	51.53860144
14	63.90145374	26.34792757	30.71013497	63.68269705	65.94005218	52.7640118	15.57756594	17.95218022	70.10703087	96.46187671	56.40260024	50.4701235	7.876639478	9.23232989	48.63240892	76.82403859	32.48864795	39.18555468
15	61.85993157	28.05168632	31.52300847	61.35159734	68.28791409	44.50104215	11.64194019	14.31676265	54.76300457	74.48287293	44.8995147	40.39180606	5.838263006	7.402040605	37.28646274	57.41931951	25.57682822	29.03346686
16	52.81490974	21.85494069	28.75736187	51.05800132	61.49889356	38.5718514	9.032690134	11.10636617	44.99134565	59.96654562	35.48134058	30.9193158	4.509707001	5.710355592	29.12667514	46.00988559	20.11736335	23.26832364
17	45.19140516	18.39731186	23.03915459	44.4882873	50.65203961	29.78445282	6.630337871	8.449946248	36.00354975	48.01134902	27.43024643	23.28851619	3.325139578	4.334982562	23.08410004	36.33029768	15.74919467	17.74318855
18	38.12954793	15.53760239	18.28209798	38.10141559	43.30436817	23.71376228	5.337309188	6.540310592	28.56436325	39.75224635	22.43074499	17.3561384	2.683798208	3.277623983	18.65611796	30.70278139	12.80441175	13.52023725
19	30.66309417	12.44880218	14.17050339	30.40402101	34.93831631	20.34914055	3.954245354	4.836094673	23.17554504	31.47209342	18.76533741	14.09654795	1.997105919	2.487544816	15.0226879	25.29736184	10.47397903	10.36572256
20	22.09177497	9.128289561	9.876179438	21.2865974	23.38929144	16.10548437	3.059777859	3.807585465	18.44949763	24.99784107	14.73242573	9.35486187	1.543705509	1.959590165	11.4567091	18.00606038	8.412603733	6.84799667
