matrix	SS:Default	SS:DOT-transpose	SS::DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	0.07663583419	0.06778787879	0.07129880478	0.07684644452	0.07685964611	0.0768860629	0.2797998749	0.2899546338	0.4356377799	0.4621900826	0.4412228797	0.4399213373	0.1957130359	0.2021690014	0.4067272727	0.4420948617	0.4165735568	0.4447316103
9	0.09371904128	0.07235466461	0.07462941364	0.09388155262	0.09381272909	0.09391913531	0.5276086957	0.5227107315	1.065601817	1.170124688	1.035044118	1.086996139	0.322414109	0.3156896165	0.93844	1.099734375	0.9530534868	1.021523948
10	0.2621768537	0.1421927858	0.1527284667	0.2625385677	0.2624233686	0.2624727273	0.7087252412	0.7168561644	2.16689441	2.491928571	2.074549058	2.206874012	0.3939066616	0.3975726496	1.722814815	2.205711275	1.703882784	1.957194951
11	0.6531989321	0.3149143638	0.3423330192	0.6545899312	0.655054915	0.5749717026	0.8097919481	0.7998505471	3.278140552	4.125313145	3.141551363	3.28622807	0.435363161	0.4320836187	2.38522881	3.349583683	2.263625378	2.697605761
12	0.6179599754	0.5747594844	0.656011246	0.6229325612	0.6257679232	0.6262173502	0.8489804494	0.8201480235	4.004007251	5.09584128	3.714063446	4.16036665	0.4337709468	0.4470446327	2.812423394	4.127199801	2.651925724	3.240723787
13	0.6140463223	0.5862416458	0.5811119629	0.6125497307	0.63384013	0.6043825068	0.9119053301	0.9126729572	4.587116643	5.701847979	4.176400609	4.556852703	0.4701917734	0.4665895375	3.108180939	4.725197385	2.84457488	3.415970106
14	1.514828978	1.024531916	1.042319315	1.506490537	1.527310424	1.404472124	0.939152973	0.9605474102	4.876388829	6.321528069	4.147787922	4.250736437	0.4844264533	0.4905462991	3.177080663	4.870875456	2.996882114	3.00170633
15	2.948456404	1.710705848	1.811431754	2.910600466	3.034247381	2.57123606	0.9572519295	0.9868971426	5.043502505	6.593841995	4.673134164	3.707539364	0.4928474913	0.5080808288	3.297166737	4.896311339	3.10910195	2.711518158
16	4.436324863	1.941089536	2.674138144	4.453835324	4.935647422	3.691765018	0.9826534107	1.054514748	5.237749988	6.970663131	5.052437477	3.622445502	0.5041938969	0.5415949153	3.370163366	5.091704632	3.20876931	2.52205657
17	5.076276017	2.211793715	2.730095518	5.186914726	5.660606531	3.925689346	0.9715782697	1.07136614	5.337377643	7.038001981	5.145220912	3.396514479	0.4929568167	0.5526543481	3.386503728	5.165113057	3.307976551	2.352057365
18	5.054168337	2.495862878	2.800589956	5.216875028	5.158797863	3.768030818	0.9634971547	1.099126408	5.392014581	7.170185455	5.123071881	3.163556286	0.4928322296	0.5621973256	3.428870944	5.297613236	3.256548383	2.185227759
19	5.675926388	2.607041957	2.796976048	5.783453245	6.082250113	3.974590605	0.9155212002	1.077979391	5.279356619	7.067238327	5.013882021	2.968714786	0.4683152448	0.5510413232	3.437200312	5.36105752	3.220967713	2.081840916
20	6.040792938	2.832617121	2.977907795	6.079924778	6.417535488	3.626857011	0.8830105908	1.013927155	5.271491518	7.156886834	5.02135285	2.807536991	0.4538307443	0.5192308956	3.441718597	5.448562425	3.285752466	1.971261635
