matrix	SS:Default	SS:DOT-transpose	SS::DOT	SS:SAXPY	SS:GUSTAVSON	SS:HASH	Heap-1P	HeapDot-1P	Hash-1P	MSA-1P	MCA-1P	Inner-1P	Heap-2P	HeapDot-2P	Hash-2P	MSA-2P	MCA-2P	Inner-2P
8	4.436450839	3.924242424	4.12749004	4.448643078	4.449407318	4.450936587	16.19762351	16.78548283	25.21908471	26.75619835	25.54240631	25.46705998	11.32983377	11.70356981	23.54545455	25.59288538	24.11545624	25.74552684
9	3.761651132	2.904137754	2.995440568	3.768173936	3.765411529	3.769682413	21.17691154	20.98031935	42.77062831	46.96591854	41.54411765	43.62934363	12.94090701	12.67100247	37.66666667	44.140625	38.25321598	41.00145138
10	7.736723447	4.196046464	4.506949765	7.747397466	7.743997994	7.745454545	20.91416963	21.15410959	63.94409938	73.53571429	61.21902874	65.12387981	11.62401204	11.73219373	50.83950617	65.08956797	50.28083028	57.75596073
11	14.27178118	6.880582116	7.479653902	14.3021732	14.31233266	12.56258993	17.69319103	17.47598078	71.6242822	90.13420509	68.63993711	71.80098684	9.51227484	9.440619932	52.11500199	73.18524728	49.45808157	58.94014401
12	10.14491672	9.435703506	10.76959629	10.2265506	10.27309813	10.28047628	13.93753043	13.46419466	65.73293051	83.6573362	60.97298509	68.29984932	7.121124843	7.339036106	46.17095323	67.75535625	43.53609733	53.20226917
13	7.464915805	7.126896404	7.064535228	7.44672185	7.705547663	7.347433512	11.08596577	11.09529776	55.76523835	69.3169449	50.77219385	55.39732186	5.716086674	5.672294559	37.7859262	57.44387574	34.5812868	41.52769637
14	14.09705972	9.534335433	9.69986568	14.01946185	14.21321255	13.07007436	8.739795535	8.938893032	45.37987159	58.82839578	38.59948209	39.55752513	4.508092158	4.565043691	29.56604109	45.32856391	27.88910611	27.93400046
15	20.96678012	12.16500719	12.88127959	20.69758261	21.57684868	18.28432702	6.807118023	7.017928216	35.86487082	46.88949617	33.23114304	26.36469799	3.504689765	3.613015613	23.44649557	34.81817913	22.10914731	19.28188761
16	24.36644238	10.6614028	14.6876604	24.4626183	27.10896344	20.2769595	5.397207926	5.791905154	28.76825689	38.28625422	27.75043092	19.89622318	2.769276804	2.974701291	18.51056765	27.96610514	17.62411341	13.85235482
17	21.63776721	9.427832009	11.63710781	22.10936777	24.12849222	16.73335963	4.141379302	4.566727866	22.75072012	29.9996785	21.93164674	14.4777371	2.101242093	2.355704475	14.435066	22.01643756	14.10034173	10.0257097
18	16.8626698	8.327168542	9.343856503	17.40552256	17.21175456	12.5716152	3.214600958	3.667112856	17.98985617	23.92252527	17.09255881	10.55485324	1.64427985	1.875708768	11.44004605	17.6748966	10.86511102	7.290769061
19	14.68562619	6.745338298	7.236764871	14.96383614	15.73692917	10.28366964	2.368776689	2.789113404	13.65956014	18.28544156	12.97268359	7.681113641	1.211696938	1.42573852	8.893251159	13.87094922	8.333781054	5.386457715
20	12.21428819	5.727460318	6.021233366	12.2934115	12.97604945	7.33338772	1.785418891	2.050127956	10.65878557	14.47099399	10.15301326	5.676749106	0.9176311051	1.049868098	6.959043827	11.01681722	6.643685347	3.985827349
